Has_QSpecs,Weight,InspectionDate
FALSE,2,3/23/2012
TRUE,0.6,6/27/2012
FALSE,3,12/28/2012
FALSE,4,4/3/2012
FALSE,0.22,7/10/2012
FALSE,0.1,1/21/2012
FALSE,0.02,1/15/2012
FALSE,1.04,4/26/2012
FALSE,0.1,10/17/2012
FALSE,0.22,6/10/2012
FALSE,2,10/5/2012
FALSE,0.02,10/24/2012
FALSE,0.01,9/17/2012
FALSE,0.1,10/10/2012
FALSE,0.02,11/18/2012
FALSE,3,3/12/2012
FALSE,0.01,4/13/2012
FALSE,0.22,11/22/2012
FALSE,67,5/1/2012
FALSE,0.01,4/14/2012
FALSE,0.4,8/22/2012
FALSE,750,8/22/2012
FALSE,0.4,10/19/2012
FALSE,0.1,7/1/2012
FALSE,0.1,7/13/2012
FALSE,1018,12/25/2012
FALSE,0.2,11/6/2012
FALSE,550,8/17/2012
FALSE,1.01,7/7/2012
FALSE,0.1,3/9/2012
FALSE,0.1,1/11/2012
FALSE,0.2,4/16/2012
FALSE,34,10/4/2012
FALSE,0.22,1/25/2012
FALSE,0.1,8/14/2012
FALSE,0.07,6/6/2012
FALSE,12,3/15/2012
FALSE,2.72,6/16/2012
FALSE,0.1,2/2/2012
FALSE,0.02,10/27/2012
FALSE,1,12/4/2012
FALSE,0.03,3/10/2012
FALSE,0.4,6/18/2012
FALSE,0.02,4/27/2012
FALSE,5.7,3/19/2012
FALSE,12,10/14/2012
FALSE,0.1,10/13/2012
FALSE,0.05,5/27/2012
TRUE,0.01,9/22/2012
FALSE,4.5,5/5/2012
FALSE,0.1,8/23/2012
FALSE,0.1,10/26/2012
FALSE,2000,7/9/2012
FALSE,26,11/26/2012
FALSE,1.5,1/27/2012
FALSE,0.3,9/5/2012
FALSE,0.1,8/8/2012
FALSE,0.1,3/9/2012
FALSE,1.7,6/1/2012
FALSE,0.1,4/7/2012
FALSE,1.4,1/26/2012
FALSE,0.35,4/9/2012
TRUE,115,9/14/2012
FALSE,0.2,3/15/2012
FALSE,0.1,3/16/2012
FALSE,0.1,10/28/2012
FALSE,0.1,10/26/2012
FALSE,0.12,7/17/2012
FALSE,0.7,11/3/2012
FALSE,0.1,8/28/2012
FALSE,1.3,5/19/2012
FALSE,0.19,1/11/2012
FALSE,0.01,6/20/2012
FALSE,9,9/12/2012
FALSE,0.4,2/13/2012
FALSE,0.14,5/8/2012
FALSE,41,2/19/2012
FALSE,302,6/4/2012
FALSE,5,2/16/2012
FALSE,31,6/19/2012
FALSE,0.1,9/17/2012
FALSE,3.16,6/25/2012
FALSE,0.1,1/26/2012
FALSE,8.5,3/7/2012
FALSE,0.01,10/16/2012
FALSE,1,12/17/2012
FALSE,1,1/7/2012
FALSE,0.1,8/5/2012
FALSE,3.5,5/23/2012
FALSE,0.1,9/1/2012
FALSE,0.2,12/28/2012
FALSE,0.1,2/10/2012
FALSE,1.8,12/5/2012
TRUE,0.01,12/27/2012
FALSE,2.5,3/25/2012
